"Stats Area","Postcode","Year","Area Speed","Entity Code","CSEF Severity","Drugs Involved"
"2 Metropolitan",5095,2019,70,"Driver Rider","2: MI","Y"
"3 Country",5654,2019,110,"Driver Rider","4: Fatal","Y"
"2 Metropolitan",5163,2019,80,"Driver Rider","2: MI","Y"
"2 Metropolitan",5073,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5158,2019,100,"Driver Rider","2: MI","Y"
"2 Metropolitan",5014,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5231,2019,80,"Driver Rider","3: SI","Y"
"3 Country",5291,2019,100,"Driver Rider","3: SI","Y"
"2 Metropolitan",5035,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5095,2019,70,"Driver Rider","2: MI","Y"
"3 Country",5320,2019,50,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5164,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5007,2019,60,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5110,2019,80,"Driver Rider","2: MI","Y"
"2 Metropolitan",5159,2019,60,"Driver Rider","3: SI","Y"
"2 Metropolitan",5032,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5008,2019,60,"Driver Rider","4: Fatal","Y"
"2 Metropolitan",5108,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5095,2019,60,"Driver Rider","3: SI","Y"
"3 Country",5333,2019,110,"Driver Rider","4: Fatal","Y"
"2 Metropolitan",5157,2019,80,"Driver Rider","1: PDO","Y"
"3 Country",5700,2019,60,"Driver Rider","3: SI","Y"
"2 Metropolitan",5371,2019,100,"Driver Rider","2: MI","Y"
"2 Metropolitan",5008,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5112,2019,60,"Driver Rider","3: SI","Y"
"2 Metropolitan",5121,2019,80,"Driver Rider","2: MI","Y"
"3 Country",5255,2019,50,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5163,2019,50,"Driver Rider","3: SI","Y"
"2 Metropolitan",5052,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5070,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5242,2019,80,"Driver Rider","2: MI","Y"
"2 Metropolitan",5112,2019,80,"Driver Rider","2: MI","Y"
"2 Metropolitan",5019,2019,60,"Driver Rider","2: MI","Y"
"3 Country",5290,2019,50,"Driver Rider","1: PDO","Y"
"3 Country",5343,2019,100,"Driver Rider","1: PDO","Y"
"3 Country",5520,2019,110,"Driver Rider","4: Fatal","Y"
